danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.567,0.235,11,-13.57,1,0.0322,0.454,6.67e-06,0.0938,0.265,81.678,audio_features,2CxLla7i6lur02aOVMHPMK,spotify:track:2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/tracks/2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/audio-analysis/2CxLla7i6lur02aOVMHPMK,264908,4,spotify:track:2CxLla7i6lur02aOVMHPMK
0.422,0.54,7,-9.449,1,0.0325,0.764,0.225,0.104,0.159,86.928,audio_features,5fZvanKBRYTYshL48wGFg8,spotify:track:5fZvanKBRYTYshL48wGFg8,https://api.spotify.com/v1/tracks/5fZvanKBRYTYshL48wGFg8,https://api.spotify.com/v1/audio-analysis/5fZvanKBRYTYshL48wGFg8,203574,4,spotify:track:5fZvanKBRYTYshL48wGFg8
0.34,0.259,9,-12.895,1,0.0363,0.953,0.0016,0.111,0.147,117.87,audio_features,1xvxR2EWqdHg9eSU8dlm2r,spotify:track:1xvxR2EWqdHg9eSU8dlm2r,https://api.spotify.com/v1/tracks/1xvxR2EWqdHg9eSU8dlm2r,https://api.spotify.com/v1/audio-analysis/1xvxR2EWqdHg9eSU8dlm2r,233151,4,spotify:track:1xvxR2EWqdHg9eSU8dlm2r
0.41,0.546,5,-10.453,1,0.189,0.609,0.0,0.0636,0.59,65.227,audio_features,3ujvY6RbzRp7xD8NLGCGFE,spotify:track:3ujvY6RbzRp7xD8NLGCGFE,https://api.spotify.com/v1/tracks/3ujvY6RbzRp7xD8NLGCGFE,https://api.spotify.com/v1/audio-analysis/3ujvY6RbzRp7xD8NLGCGFE,211933,4,spotify:track:3ujvY6RbzRp7xD8NLGCGFE
0.618,0.67,4,-8.034,0,0.15,0.136,0.000116,0.169,0.214,143.059,audio_features,78HAgo3mrVdg9sI9GVKfs5,spotify:track:78HAgo3mrVdg9sI9GVKfs5,https://api.spotify.com/v1/tracks/78HAgo3mrVdg9sI9GVKfs5,https://api.spotify.com/v1/audio-analysis/78HAgo3mrVdg9sI9GVKfs5,315565,4,spotify:track:78HAgo3mrVdg9sI9GVKfs5
0.4,0.648,6,-6.386,1,0.452,0.0656,2.23e-06,0.271,0.428,86.118,audio_features,30ssWClDgkht8TY9Vj0qgs,spotify:track:30ssWClDgkht8TY9Vj0qgs,https://api.spotify.com/v1/tracks/30ssWClDgkht8TY9Vj0qgs,https://api.spotify.com/v1/audio-analysis/30ssWClDgkht8TY9Vj0qgs,223655,4,spotify:track:30ssWClDgkht8TY9Vj0qgs
0.599,0.32,3,-13.716,0,0.0787,0.26,0.0,0.106,0.197,70.998,audio_features,0MoQI1EZGSHLhd5UBdxPol,spotify:track:0MoQI1EZGSHLhd5UBdxPol,https://api.spotify.com/v1/tracks/0MoQI1EZGSHLhd5UBdxPol,https://api.spotify.com/v1/audio-analysis/0MoQI1EZGSHLhd5UBdxPol,219834,4,spotify:track:0MoQI1EZGSHLhd5UBdxPol
0.429,0.509,9,-9.273,1,0.114,0.664,0.0,0.14,0.197,129.532,audio_features,1w1k2sO6YHmseERkIigSvW,spotify:track:1w1k2sO6YHmseERkIigSvW,https://api.spotify.com/v1/tracks/1w1k2sO6YHmseERkIigSvW,https://api.spotify.com/v1/audio-analysis/1w1k2sO6YHmseERkIigSvW,154125,1,spotify:track:1w1k2sO6YHmseERkIigSvW
0.279,0.571,8,-9.218,1,0.107,0.933,2.37e-05,0.151,0.607,76.69,audio_features,3fsPD07oy4Desemhtc0N9T,spotify:track:3fsPD07oy4Desemhtc0N9T,https://api.spotify.com/v1/tracks/3fsPD07oy4Desemhtc0N9T,https://api.spotify.com/v1/audio-analysis/3fsPD07oy4Desemhtc0N9T,165493,4,spotify:track:3fsPD07oy4Desemhtc0N9T
0.578,0.631,9,-6.518,0,0.309,0.0243,0.0,0.0665,0.716,96.332,audio_features,67vrmPygrZ9giGqHUSReAT,spotify:track:67vrmPygrZ9giGqHUSReAT,https://api.spotify.com/v1/tracks/67vrmPygrZ9giGqHUSReAT,https://api.spotify.com/v1/audio-analysis/67vrmPygrZ9giGqHUSReAT,118853,4,spotify:track:67vrmPygrZ9giGqHUSReAT
