danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.583,0.695,9,-5.336,1,0.0423,0.0141,0.0,0.0527,0.224,104.879,audio_features,0g5EKLgdKvNlln7TNqBByK,spotify:track:0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/tracks/0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/audio-analysis/0g5EKLgdKvNlln7TNqBByK,220573,4,spotify:track:0g5EKLgdKvNlln7TNqBByK
0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,audio_features,13P5rwmk2EsoFRIz9UCeh9,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,237627,4,spotify:track:13P5rwmk2EsoFRIz9UCeh9
0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,audio_features,6OtCIsQZ64Vs1EbzztvAv4,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,https://api.spotify.com/v1/tracks/6OtCIsQZ64Vs1EbzztvAv4,https://api.spotify.com/v1/audio-analysis/6OtCIsQZ64Vs1EbzztvAv4,253307,4,spotify:track:6OtCIsQZ64Vs1EbzztvAv4
0.645,0.877,5,-3.208,0,0.113,0.294,0.0,0.0759,0.861,82.324,audio_features,06EL94D0TA27Ik0Ke5usbj,spotify:track:06EL94D0TA27Ik0Ke5usbj,https://api.spotify.com/v1/tracks/06EL94D0TA27Ik0Ke5usbj,https://api.spotify.com/v1/audio-analysis/06EL94D0TA27Ik0Ke5usbj,227027,4,spotify:track:06EL94D0TA27Ik0Ke5usbj
0.388,0.694,5,-5.769,1,0.0735,0.118,0.000293,0.082,0.365,145.434,audio_features,7gpy7sfWPNuOKmUNs3XQYE,spotify:track:7gpy7sfWPNuOKmUNs3XQYE,https://api.spotify.com/v1/tracks/7gpy7sfWPNuOKmUNs3XQYE,https://api.spotify.com/v1/audio-analysis/7gpy7sfWPNuOKmUNs3XQYE,278373,5,spotify:track:7gpy7sfWPNuOKmUNs3XQYE
0.657,0.679,2,-5.511,1,0.0269,0.00246,0.0,0.211,0.331,120.007,audio_features,6TwfdLbaxTKzQi3AgsZNzx,spotify:track:6TwfdLbaxTKzQi3AgsZNzx,https://api.spotify.com/v1/tracks/6TwfdLbaxTKzQi3AgsZNzx,https://api.spotify.com/v1/audio-analysis/6TwfdLbaxTKzQi3AgsZNzx,225307,4,spotify:track:6TwfdLbaxTKzQi3AgsZNzx
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267,4,spotify:track:1AWQoqb9bSvzTjaLralEkT
0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01,audio_features,1yjY7rpaAQvKwpdUliHx0d,spotify:track:1yjY7rpaAQvKwpdUliHx0d,https://api.spotify.com/v1/tracks/1yjY7rpaAQvKwpdUliHx0d,https://api.spotify.com/v1/audio-analysis/1yjY7rpaAQvKwpdUliHx0d,216013,4,spotify:track:1yjY7rpaAQvKwpdUliHx0d
0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,audio_features,0I3q5fE6wg7LIfHGngUTnV,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,270507,4,spotify:track:0I3q5fE6wg7LIfHGngUTnV
0.906,0.583,8,-7.721,0,0.317,0.0569,0.0,0.126,0.829,129.056,audio_features,1D066zixBwqFYqBhKgdPzp,spotify:track:1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/tracks/1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/audio-analysis/1D066zixBwqFYqBhKgdPzp,292373,4,spotify:track:1D066zixBwqFYqBhKgdPzp
0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,audio_features,0O45fw2L5vsWpdsOdXwNAR,spotify:track:0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,242733,4,spotify:track:0O45fw2L5vsWpdsOdXwNAR
0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,audio_features,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,173027,4,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT
